"","Two_yr_Recidivism","Number_of_Priors","Age_Above_FourtyFive","Age_Below_TwentyFive","Female","Misdemeanor","ethnicity","probability","predicted"
"164","yes",1.21286761341398,"no","no","Male","no","African_American",0.77688352171141,1
"168","no",-0.473554939595753,"no","yes","Female","yes","African_American",0.477930425598273,0
"175","yes",-0.262752120469537,"no","no","Male","no","African_American",0.504464793122247,1
"179","no",-0.262752120469537,"no","no","Male","no","African_American",0.504464793122247,1
"198","yes",2.05607888991884,"no","no","Male","no","Caucasian",0.86640296537517,1
"199","no",-0.684357758721968,"yes","no","Male","no","African_American",0.248962346970747,0
"201","yes",1.63447325166641,"no","no","Male","yes","African_American",0.795596341008391,1
"210","yes",4.58571271943343,"no","no","Male","no","African_American",0.983017165782874,1
"228","no",-0.684357758721968,"yes","no","Female","no","African_American",0.179368019748095,0
"231","no",-0.684357758721968,"no","no","Male","no","Caucasian",0.397887522913899,0
"234","yes",-0.0519493013433206,"no","yes","Male","yes","African_American",0.66362679074456,1
"238","yes",-0.0519493013433206,"yes","no","Male","no","African_American",0.359594617434926,0
"268","no",-0.684357758721968,"yes","no","Male","yes","Caucasian",0.193896136911321,0
"274","yes",-0.262752120469537,"no","no","Male","yes","Caucasian",0.424854525436745,0
"288","no",-0.473554939595753,"no","yes","Male","no","African_American",0.638324627835667,1
"289","no",-0.0519493013433206,"yes","no","Male","no","African_American",0.359594617434926,0
"291","yes",-0.262752120469537,"no","yes","Male","no","African_American",0.677821145700429,1
"294","no",-0.684357758721968,"no","yes","Female","no","Caucasian",0.473814255584197,0
"296","no",-0.262752120469537,"no","yes","Male","no","Caucasian",0.659932951337658,1
"297","yes",0.580459156035327,"no","no","Male","yes","African_American",0.617892318378799,1
"299","yes",-0.684357758721968,"no","yes","Female","no","African_American",0.493985859634098,0
"309","yes",0.158853517782895,"no","yes","Male","no","African_American",0.749346501740368,1
"310","yes",-0.684357758721968,"no","yes","Male","no","African_American",0.596865908203352,1
"330","no",-0.0519493013433206,"no","no","Male","yes","Caucasian",0.468242931433342,0
"335","no",-0.684357758721968,"no","no","Male","no","Caucasian",0.397887522913899,0
"354","yes",-0.684357758721968,"no","yes","Male","no","African_American",0.596865908203352,1
"363","yes",-0.0519493013433206,"no","yes","Male","no","Caucasian",0.698185477582922,1
"374","no",0.158853517782895,"yes","no","Male","no","Caucasian",0.381726026602086,0
"375","no",-0.0519493013433206,"yes","no","Female","no","African_American",0.270200608680838,0
"384","yes",-0.0519493013433206,"no","no","Male","no","African_American",0.548233623544722,1
"390","no",-0.262752120469537,"yes","no","Male","no","Caucasian",0.302888225782342,0
"416","no",-0.684357758721968,"no","no","Female","yes","Caucasian",0.255267984633487,0
"428","no",-0.473554939595753,"no","no","Male","no","Caucasian",0.440631826735252,0
"437","no",-0.684357758721968,"no","no","Male","yes","Other",0.315155748063539,0
"439","yes",0.369656336909111,"no","no","Male","no","African_American",0.632949155154948,1
"444","yes",0.158853517782895,"no","no","Male","no","Caucasian",0.571612180542578,1
"446","no",-0.684357758721968,"no","yes","Male","yes","Caucasian",0.517914178837007,1
"449","no",-0.684357758721968,"no","no","Male","no","African_American",0.417390788113458,0
"451","yes",-0.473554939595753,"no","no","Male","no","Caucasian",0.440631826735252,0
"452","yes",-0.684357758721968,"no","yes","Male","no","Caucasian",0.577286019226674,1
"454","no",-0.684357758721968,"no","no","Male","no","Caucasian",0.397887522913899,0
"456","no",-0.684357758721968,"no","no","Male","no","African_American",0.417390788113458,0
"458","yes",1.21286761341398,"no","yes","Male","yes","Caucasian",0.839266098225695,1
"471","yes",-0.0519493013433206,"no","yes","Male","no","African_American",0.714930699944806,1
"479","no",-0.473554939595753,"no","yes","Male","no","African_American",0.638324627835667,1
"485","yes",0.580459156035327,"no","no","Female","no","African_American",0.575440932612235,1
"491","yes",-0.262752120469537,"yes","no","Female","yes","Caucasian",0.183919094924584,0
"493","yes",-0.684357758721968,"yes","no","Male","yes","Caucasian",0.193896136911321,0
"497","no",-0.473554939595753,"no","yes","Male","yes","Caucasian",0.56152760749704,1
"507","no",-0.473554939595753,"no","yes","Male","no","African_American",0.638324627835667,1
"510","no",-0.684357758721968,"no","no","Male","no","African_American",0.417390788113458,0
"515","yes",0.580459156035327,"no","no","Male","no","Caucasian",0.654704909583151,1
"517","no",-0.262752120469537,"no","no","Male","yes","Caucasian",0.424854525436745,0
"521","yes",0.158853517782895,"no","no","Male","no","African_American",0.591268804032352,1
"522","no",-0.684357758721968,"yes","no","Male","yes","Caucasian",0.193896136911321,0
"525","yes",1.21286761341398,"yes","no","Male","yes","African_American",0.558969634574554,1
"528","yes",-0.262752120469537,"no","yes","Female","no","Caucasian",0.561318410753049,1
"529","no",-0.473554939595753,"no","no","Male","yes","African_American",0.401847829438371,0
"542","yes",0.158853517782895,"yes","no","Female","no","African_American",0.306203596404712,0
"545","no",-0.684357758721968,"no","yes","Female","no","African_American",0.493985859634098,0
"546","no",-0.684357758721968,"no","no","Male","no","African_American",0.417390788113458,0
"549","no",-0.473554939595753,"yes","no","Female","no","Caucasian",0.193763377267776,0
"560","yes",-0.262752120469537,"yes","no","Male","yes","African_American",0.270368177600573,0
"563","no",-0.473554939595753,"yes","no","Male","yes","Caucasian",0.22283635554768,0
"565","no",-0.684357758721968,"no","yes","Male","no","African_American",0.596865908203352,1
"570","no",-0.262752120469537,"yes","no","Female","no","Caucasian",0.22268925471954,0
"576","yes",2.47768452817127,"no","no","Female","no","Caucasian",0.85868302982143,1
"581","yes",-0.0519493013433206,"yes","no","Male","no","Caucasian",0.34121032995279,0
"582","no",0.369656336909111,"no","no","Male","no","African_American",0.632949155154948,1
"584","yes",2.26688170904505,"no","no","Male","no","African_American",0.89340276386162,1
"588","yes",3.53169862380235,"yes","no","Male","no","African_American",0.917539759213967,1
"589","no",-0.262752120469537,"no","no","Male","yes","African_American",0.44470335738325,0
"590","no",-0.473554939595753,"no","yes","Male","yes","African_American",0.581308023025189,1
"592","no",-0.684357758721968,"yes","no","Male","no","African_American",0.248962346970747,0
"600","no",-0.684357758721968,"no","yes","Male","yes","Hispanic",0.493149527140407,0
"603","yes",3.11009298554992,"yes","no","Male","no","African_American",0.886756121540691,1
"612","no",-0.684357758721968,"yes","no","Male","yes","Caucasian",0.193896136911321,0
"615","no",-0.684357758721968,"no","yes","Male","no","African_American",0.596865908203352,1
"617","yes",-0.473554939595753,"no","yes","Male","no","Caucasian",0.619474595639724,1
"619","yes",0.158853517782895,"no","no","Female","no","African_American",0.488185216147657,0
"621","yes",0.580459156035327,"no","yes","Male","no","African_American",0.809456631724968,1
"622","no",-0.684357758721968,"no","yes","Male","no","African_American",0.596865908203352,1
"624","no",-0.684357758721968,"no","yes","Male","no","African_American",0.596865908203352,1
"625","no",1.63447325166641,"yes","no","Male","no","African_American",0.695993124219806,1
"631","yes",-0.684357758721968,"no","yes","Male","no","African_American",0.596865908203352,1
"632","no",-0.684357758721968,"yes","no","Female","no","Caucasian",0.167783766695531,0
"633","yes",0.791261975161543,"no","no","Male","yes","African_American",0.658426143904804,1
"640","yes",-0.262752120469537,"no","yes","Male","no","African_American",0.677821145700429,1
"647","no",-0.0519493013433206,"no","no","Male","yes","Native_American",0.52250281551172,1
"659","no",-0.684357758721968,"no","no","Male","yes","Caucasian",0.342037047492551,0
"664","yes",-0.262752120469537,"no","yes","Male","no","Caucasian",0.659932951337658,1
"668","no",-0.684357758721968,"no","no","Male","no","Other",0.369079027334188,0
"683","yes",-0.0519493013433206,"no","no","Male","no","African_American",0.548233623544722,1
"684","no",-0.684357758721968,"no","no","Female","yes","African_American",0.270926031904851,0
"689","no",0.791261975161543,"no","no","Male","no","African_American",0.71017684576985,1
"693","no",-0.684357758721968,"no","no","Male","yes","African_American",0.360441507411816,0
"696","no",2.68848734729749,"no","no","Male","no","African_American",0.922537444254201,1
"699","no",-0.684357758721968,"no","no","Male","yes","Caucasian",0.342037047492551,0
"702","no",-0.473554939595753,"no","yes","Female","no","African_American",0.537832294593836,1
"704","yes",2.05607888991884,"no","no","Male","no","African_American",0.875479702115229,1
"716","yes",-0.473554939595753,"no","no","Male","no","African_American",0.460627424075695,0
"721","yes",-0.473554939595753,"no","yes","Male","yes","African_American",0.581308023025189,1
"743","no",0.158853517782895,"no","no","Female","no","African_American",0.488185216147657,0
"746","no",-0.0519493013433206,"no","yes","Male","no","African_American",0.714930699944806,1
"749","no",-0.0519493013433206,"no","no","Male","no","Caucasian",0.528158962684605,1
"751","yes",0.158853517782895,"no","no","Male","no","Other",0.541538273366002,1
"754","no",-0.473554939595753,"no","no","Male","no","African_American",0.460627424075695,0
"755","yes",-0.0519493013433206,"no","yes","Male","no","Hispanic",0.67690425273778,1
"765","no",-0.473554939595753,"no","no","Male","yes","Hispanic",0.359474915349488,0
"770","yes",-0.684357758721968,"yes","no","Male","yes","Hispanic",0.178876050077104,0
"774","no",-0.684357758721968,"yes","no","Female","yes","Caucasian",0.13688923723236,0
"776","no",-0.473554939595753,"no","no","Male","no","Hispanic",0.416370901053701,0
"779","yes",-0.473554939595753,"no","yes","Male","no","African_American",0.638324627835667,1
"793","no",-0.684357758721968,"yes","no","Female","yes","Hispanic",0.125597118100933,0
"798","yes",2.26688170904505,"no","no","Male","no","African_American",0.89340276386162,1
"801","no",-0.684357758721968,"yes","no","Male","yes","Hispanic",0.178876050077104,0
"804","yes",-0.262752120469537,"no","no","Male","yes","African_American",0.44470335738325,0
"807","no",-0.684357758721968,"no","yes","Male","no","Caucasian",0.577286019226674,1
"823","yes",0.158853517782895,"yes","no","Male","yes","African_American",0.344929678613418,0
"842","no",-0.262752120469537,"yes","no","Male","no","Hispanic",0.282382751077098,0
"851","yes",-0.473554939595753,"no","yes","Male","no","Hispanic",0.595855992321501,1
"855","yes",-0.473554939595753,"no","yes","Male","yes","Hispanic",0.537000507862785,1
"856","no",0.580459156035327,"no","no","Male","no","Caucasian",0.654704909583151,1
"857","no",-0.262752120469537,"no","no","Male","no","African_American",0.504464793122247,1
"862","yes",0.580459156035327,"no","no","Male","no","African_American",0.672731730964277,1
"875","no",-0.473554939595753,"no","no","Male","no","African_American",0.460627424075695,0
"878","no",-0.262752120469537,"yes","no","Male","yes","African_American",0.270368177600573,0
"882","no",-0.262752120469537,"yes","no","Male","no","Caucasian",0.302888225782342,0
"899","no",-0.262752120469537,"no","no","Male","no","African_American",0.504464793122247,1
"910","yes",-0.473554939595753,"yes","no","Male","no","Caucasian",0.267124967771236,0
"911","yes",1.00206479428776,"no","no","Male","no","African_American",0.744961833979367,1
"912","no",-0.0519493013433206,"no","no","Male","no","Caucasian",0.528158962684605,1
"913","no",-0.473554939595753,"no","no","Male","no","African_American",0.460627424075695,0
"917","no",-0.473554939595753,"no","no","Male","yes","Caucasian",0.382593899703666,0
"920","no",-0.684357758721968,"yes","no","Male","yes","Hispanic",0.178876050077104,0
"922","yes",-0.473554939595753,"yes","no","Male","no","African_American",0.28323371294434,0
"925","yes",-0.473554939595753,"no","yes","Male","yes","African_American",0.581308023025189,1
"933","yes",0.369656336909111,"no","no","Female","no","Caucasian",0.511904644526051,1
"942","yes",-0.0519493013433206,"yes","no","Male","yes","Caucasian",0.289490489147188,0
"945","no",-0.473554939595753,"no","no","Male","no","Other",0.410840196702781,0
"951","no",-0.684357758721968,"no","yes","Male","no","African_American",0.596865908203352,1
"965","no",2.26688170904505,"no","no","Female","no","African_American",0.846771285575815,1
"966","yes",-0.684357758721968,"no","yes","Male","yes","Other",0.487450756442408,0
"975","no",-0.684357758721968,"no","no","Female","yes","Caucasian",0.255267984633487,0
"986","yes",-0.262752120469537,"no","yes","Male","no","Hispanic",0.637355468870108,1
"991","yes",-0.684357758721968,"no","yes","Male","no","African_American",0.596865908203352,1
"994","no",-0.684357758721968,"no","yes","Female","yes","African_American",0.434377632437691,0
"1001","yes",1.63447325166641,"no","no","Female","no","Caucasian",0.750576198949192,1
"1009","yes",-0.684357758721968,"no","yes","Male","yes","African_American",0.538043473901985,1
"1012","no",-0.473554939595753,"no","no","Female","yes","Caucasian",0.290072112933316,0
"1018","yes",0.369656336909111,"no","no","Male","no","African_American",0.632949155154948,1
"1020","yes",0.791261975161543,"no","no","Male","no","African_American",0.71017684576985,1
"1027","yes",-0.0519493013433206,"no","no","Male","no","African_American",0.548233623544722,1
"1030","no",-0.684357758721968,"no","no","Male","yes","Hispanic",0.320098194878879,0
"1043","no",0.580459156035327,"no","no","Male","yes","African_American",0.617892318378799,1
"1045","no",0.158853517782895,"no","yes","Male","yes","Caucasian",0.684470670761448,1
"1048","yes",-0.473554939595753,"no","yes","Male","no","Caucasian",0.619474595639724,1
"1052","no",-0.684357758721968,"no","no","Male","no","Other",0.369079027334188,0
"1059","no",-0.684357758721968,"no","yes","Male","no","African_American",0.596865908203352,1
"1062","yes",-0.684357758721968,"no","no","Female","no","Caucasian",0.303485269756697,0
"1071","no",-0.684357758721968,"no","no","Male","yes","Caucasian",0.342037047492551,0
"1072","no",-0.473554939595753,"no","no","Female","yes","Caucasian",0.290072112933316,0
"1075","no",-0.262752120469537,"no","no","Male","yes","Caucasian",0.424854525436745,0
"1076","yes",-0.684357758721968,"no","yes","Male","no","African_American",0.596865908203352,1
"1084","no",-0.473554939595753,"yes","no","Male","no","Hispanic",0.248178699782359,0
"1088","yes",0.369656336909111,"no","no","Female","no","African_American",0.532058150819287,1
"1090","no",-0.473554939595753,"no","no","Female","no","African_American",0.360245675967672,0
"1091","no",-0.684357758721968,"no","no","Male","no","Other",0.369079027334188,0
"1096","yes",0.580459156035327,"no","yes","Male","no","Caucasian",0.796684891465165,1
"1107","yes",0.158853517782895,"no","no","Male","yes","African_American",0.532269674019932,1
"1118","no",-0.684357758721968,"no","no","Male","yes","African_American",0.360441507411816,0
"1122","no",-0.684357758721968,"no","no","Male","yes","Other",0.315155748063539,0
"1123","no",-0.473554939595753,"no","yes","Female","yes","Caucasian",0.457821262307978,0
"1124","yes",-0.262752120469537,"no","yes","Male","no","African_American",0.677821145700429,1
"1127","no",-0.684357758721968,"no","yes","Male","yes","African_American",0.538043473901985,1
"1128","no",-0.684357758721968,"no","no","Male","no","Caucasian",0.397887522913899,0
"1130","no",0.580459156035327,"no","no","Male","no","African_American",0.672731730964277,1
"1136","no",-0.473554939595753,"no","yes","Male","no","Hispanic",0.595855992321501,1
"1139","no",0.580459156035327,"no","no","Male","no","Caucasian",0.654704909583151,1
"1147","yes",0.158853517782895,"no","no","Male","no","Caucasian",0.571612180542578,1
"1160","yes",1.42367043254019,"no","no","Male","no","Caucasian",0.792899448857204,1
"1161","yes",-0.262752120469537,"no","no","Male","no","African_American",0.504464793122247,1
"1175","no",-0.684357758721968,"no","yes","Male","no","African_American",0.596865908203352,1
"1176","yes",-0.262752120469537,"yes","no","Male","yes","Caucasian",0.254731106607171,0
"1178","yes",0.158853517782895,"yes","no","Male","no","Other",0.3534008793684,0
"1182","no",-0.473554939595753,"yes","no","Female","no","Caucasian",0.193763377267776,0
"1183","yes",-0.684357758721968,"no","no","Male","no","Caucasian",0.397887522913899,0
"1184","yes",-0.684357758721968,"no","no","Female","no","Caucasian",0.303485269756697,0
"1188","yes",-0.0519493013433206,"no","no","Male","no","African_American",0.548233623544722,1
"1192","no",-0.684357758721968,"no","yes","Male","no","Other",0.547294970389233,1
"1196","no",-0.684357758721968,"no","no","Male","yes","Caucasian",0.342037047492551,0
"1207","no",1.21286761341398,"yes","no","Male","yes","African_American",0.558969634574554,1
"1210","yes",-0.473554939595753,"no","no","Female","no","African_American",0.360245675967672,0
"1213","yes",-0.473554939595753,"no","no","Male","no","Caucasian",0.440631826735252,0
"1215","yes",0.580459156035327,"no","no","Female","no","Caucasian",0.55559523845428,1
"1219","no",-0.473554939595753,"yes","no","Male","no","Caucasian",0.267124967771236,0
"1225","yes",-0.0519493013433206,"no","no","Male","no","Hispanic",0.503415985387002,1
"1226","yes",0.369656336909111,"no","yes","Male","no","African_American",0.780880807740055,1
"1233","no",-0.0519493013433206,"yes","no","Male","yes","African_American",0.306384119468156,0
"1240","no",-0.0519493013433206,"yes","no","Male","no","Hispanic",0.319298771248082,0
"1247","no",-0.473554939595753,"no","yes","Male","no","African_American",0.638324627835667,1
"1250","yes",2.47768452817127,"no","no","Male","no","African_American",0.909014145629586,1
"1253","yes",-0.684357758721968,"no","yes","Female","no","Caucasian",0.473814255584197,0
"1267","no",0.791261975161543,"no","no","Male","no","African_American",0.71017684576985,1
"1271","yes",-0.473554939595753,"no","no","Male","no","African_American",0.460627424075695,0
"1278","yes",2.05607888991884,"yes","no","Male","no","Caucasian",0.750046755166569,1
"1281","no",1.63447325166641,"yes","no","Male","yes","Caucasian",0.624232812064696,1
"1284","yes",-0.262752120469537,"no","no","Male","no","Other",0.45392695708989,0
"1291","yes",-0.684357758721968,"no","yes","Male","yes","Hispanic",0.493149527140407,0
"1300","no",-0.684357758721968,"yes","no","Male","yes","Hispanic",0.178876050077104,0
"1301","no",1.63447325166641,"no","no","Female","no","African_American",0.765391426488449,1
"1302","no",-0.0519493013433206,"yes","no","Male","no","Caucasian",0.34121032995279,0
"1304","no",-0.0519493013433206,"yes","no","Male","no","African_American",0.359594617434926,0
"1313","no",-0.473554939595753,"yes","no","Male","no","Caucasian",0.267124967771236,0
"1315","no",-0.684357758721968,"no","no","Female","yes","African_American",0.270926031904851,0
"1331","yes",-0.262752120469537,"no","no","Male","no","Caucasian",0.484274805640155,0
"1338","no",-0.684357758721968,"no","yes","Female","no","African_American",0.493985859634098,0
"1341","no",-0.473554939595753,"yes","no","Female","yes","Caucasian",0.15899909465233,0
"1344","no",0.580459156035327,"no","no","Male","no","Caucasian",0.654704909583151,1
"1351","no",-0.473554939595753,"no","no","Male","no","Caucasian",0.440631826735252,0
"1354","no",-0.684357758721968,"no","no","Male","no","African_American",0.417390788113458,0
"1356","no",-0.684357758721968,"no","no","Male","no","Other",0.369079027334188,0
"1358","no",-0.0519493013433206,"no","no","Male","no","Other",0.497715076378587,0
"1365","no",-0.473554939595753,"no","no","Male","no","Other",0.410840196702781,0
"1373","yes",1.00206479428776,"yes","no","Male","no","African_American",0.574750357387522,1
"1375","yes",2.05607888991884,"no","no","Male","no","African_American",0.875479702115229,1
"1378","yes",1.00206479428776,"no","no","Male","yes","African_American",0.696770283878438,1
"1383","no",0.791261975161543,"no","no","Female","yes","Caucasian",0.539673000397083,1
"1384","yes",-0.473554939595753,"no","no","Male","no","African_American",0.460627424075695,0
"1388","yes",0.580459156035327,"no","no","Female","no","Caucasian",0.55559523845428,1
"1391","no",-0.262752120469537,"yes","no","Male","no","Other",0.27778472106582,0
"1398","no",0.369656336909111,"no","no","Male","yes","African_American",0.575648486028822,1
"1406","yes",4.37490990030721,"no","no","Male","no","African_American",0.979821382959461,1
"1408","no",3.32089580467613,"yes","no","Male","no","African_American",0.90323548701366,1
"1410","no",-0.684357758721968,"no","no","Male","no","Caucasian",0.397887522913899,0
"1417","no",5.00731835768586,"yes","no","Male","yes","African_American",0.967678330113477,1
"1421","no",-0.473554939595753,"yes","no","Male","no","Caucasian",0.267124967771236,0
"1422","no",4.37490990030721,"no","no","Male","no","African_American",0.979821382959461,1
"1423","yes",2.05607888991884,"no","no","Male","no","Caucasian",0.86640296537517,1
"1426","no",-0.473554939595753,"yes","no","Male","yes","African_American",0.237138507850843,0
"1428","no",-0.684357758721968,"no","yes","Male","no","African_American",0.596865908203352,1
"1441","yes",-0.473554939595753,"no","no","Female","no","Caucasian",0.341845870705414,0
"1445","no",-0.473554939595753,"yes","no","Male","no","Caucasian",0.267124967771236,0
"1446","no",0.158853517782895,"no","no","Female","no","Caucasian",0.468031391854968,0
"1451","yes",-0.0519493013433206,"no","yes","Male","yes","African_American",0.66362679074456,1
"1452","yes",-0.684357758721968,"no","no","Male","yes","Caucasian",0.342037047492551,0
"1464","no",-0.684357758721968,"yes","no","Male","no","Caucasian",0.234165977576199,0
"1466","no",-0.684357758721968,"yes","no","Male","no","African_American",0.248962346970747,0
"1472","no",1.00206479428776,"no","no","Male","no","African_American",0.744961833979367,1
"1474","no",1.00206479428776,"no","no","Male","no","African_American",0.744961833979367,1
"1477","yes",0.791261975161543,"no","no","Male","no","Caucasian",0.693272182981931,1
"1481","no",-0.684357758721968,"no","no","Male","yes","Other",0.315155748063539,0
"1482","no",-0.473554939595753,"no","yes","Male","no","Hispanic",0.595855992321501,1
"1485","no",-0.473554939595753,"yes","no","Male","no","Caucasian",0.267124967771236,0
"1492","yes",-0.684357758721968,"no","no","Male","no","African_American",0.417390788113458,0
"1499","no",-0.262752120469537,"no","yes","Male","no","Caucasian",0.659932951337658,1
"1508","yes",-0.0519493013433206,"no","no","Male","no","African_American",0.548233623544722,1
"1509","no",-0.262752120469537,"no","no","Female","yes","African_American",0.345568513129703,0
"1516","no",-0.0519493013433206,"yes","no","Male","no","African_American",0.359594617434926,0
"1523","yes",-0.684357758721968,"no","no","Female","no","African_American",0.320826815489286,0
"1529","yes",0.580459156035327,"yes","no","Male","no","Caucasian",0.467327831638345,0
"1530","no",-0.684357758721968,"no","yes","Male","yes","Asian",0.344262458717946,0
"1531","no",-0.684357758721968,"no","no","Male","no","Hispanic",0.37440480886202,0
"1539","no",0.791261975161543,"no","no","Male","yes","African_American",0.658426143904804,1
"1556","yes",2.26688170904505,"yes","no","Female","yes","African_American",0.667940273829937,1
"1557","yes",1.21286761341398,"no","no","Male","yes","Caucasian",0.716437942413627,1
"1560","no",-0.684357758721968,"yes","no","Male","yes","Caucasian",0.193896136911321,0
"1571","no",-0.684357758721968,"no","no","Male","yes","Caucasian",0.342037047492551,0
"1573","yes",1.63447325166641,"no","yes","Male","no","Hispanic",0.895200117538894,1
"1584","no",0.158853517782895,"yes","no","Male","no","African_American",0.40096464521192,0
"1589","no",-0.684357758721968,"no","no","Male","yes","Caucasian",0.342037047492551,0
"1591","yes",1.42367043254019,"yes","no","Male","no","Caucasian",0.639185699151833,1
"1594","no",0.580459156035327,"no","no","Male","no","Other",0.626654317988669,1
"1596","yes",3.32089580467613,"no","no","Male","no","African_American",0.952770860266475,1
"1602","yes",-0.473554939595753,"no","no","Male","no","African_American",0.460627424075695,0
"1617","yes",1.21286761341398,"no","no","Male","no","African_American",0.77688352171141,1
"1622","yes",-0.473554939595753,"no","no","Male","no","Caucasian",0.440631826735252,0
"1633","no",-0.0519493013433206,"no","no","Male","yes","Caucasian",0.468242931433342,0
"1653","no",-0.684357758721968,"no","no","Male","no","African_American",0.417390788113458,0
"1656","no",-0.473554939595753,"no","no","Male","yes","African_American",0.401847829438371,0
"1664","yes",0.158853517782895,"no","no","Male","yes","African_American",0.532269674019932,1
"1665","yes",-0.0519493013433206,"yes","no","Male","yes","Caucasian",0.289490489147188,0
"1676","no",-0.684357758721968,"yes","no","Male","yes","Caucasian",0.193896136911321,0
"1682","no",-0.684357758721968,"no","yes","Female","yes","Hispanic",0.390815745156769,0
"1701","no",0.158853517782895,"no","no","Male","no","Caucasian",0.571612180542578,1
"1703","no",-0.473554939595753,"no","yes","Male","no","Hispanic",0.595855992321501,1
"1705","no",-0.473554939595753,"yes","no","Male","no","African_American",0.28323371294434,0
"1707","no",0.158853517782895,"no","no","Female","yes","African_American",0.428683957043156,0
"1710","no",-0.262752120469537,"no","no","Male","yes","African_American",0.44470335738325,0
"1711","no",0.369656336909111,"yes","no","Male","no","African_American",0.443795867396399,0
"1713","yes",0.158853517782895,"no","no","Male","no","African_American",0.591268804032352,1
"1718","no",1.21286761341398,"no","no","Male","no","African_American",0.77688352171141,1
"1724","no",-0.684357758721968,"no","yes","Male","no","African_American",0.596865908203352,1
"1728","no",-0.473554939595753,"no","no","Male","no","African_American",0.460627424075695,0
"1729","no",-0.473554939595753,"no","yes","Female","no","Caucasian",0.517702046137029,1
"1733","no",-0.684357758721968,"no","no","Female","yes","Other",0.232793277360229,0
"1739","yes",-0.473554939595753,"no","yes","Male","no","African_American",0.638324627835667,1
"1740","yes",-0.0519493013433206,"no","yes","Male","no","African_American",0.714930699944806,1
"1748","no",-0.684357758721968,"no","no","Female","yes","Caucasian",0.255267984633487,0
"1752","yes",0.791261975161543,"no","no","Male","no","African_American",0.71017684576985,1
"1754","no",0.791261975161543,"no","no","Female","no","Caucasian",0.598442799662822,1
"1764","yes",0.791261975161543,"no","no","Male","yes","Caucasian",0.640032972045233,1
"1766","yes",2.05607888991884,"no","no","Male","no","African_American",0.875479702115229,1
"1772","yes",-0.684357758721968,"no","yes","Male","no","Other",0.547294970389233,1
"1776","yes",-0.684357758721968,"no","yes","Male","no","Caucasian",0.577286019226674,1
"1796","no",-0.684357758721968,"no","no","Male","yes","Other",0.315155748063539,0
"1802","no",0.158853517782895,"yes","no","Female","no","African_American",0.306203596404712,0
"1807","no",-0.262752120469537,"no","yes","Male","no","African_American",0.677821145700429,1
"1815","no",-0.473554939595753,"yes","no","Female","no","Caucasian",0.193763377267776,0
"1816","no",-0.684357758721968,"yes","no","Female","no","Caucasian",0.167783766695531,0
"1828","yes",0.369656336909111,"yes","no","Male","no","African_American",0.443795867396399,0
